,Recall@10,MAP@10,MIUF@10,Siren@10,PopInt@10,RecallNoPop@10,model,K,B,K1
2,0.1184902445507599,0.0433068001946124,5.10328053984697,0.0001977280866874,0.1150570915520951,0.0654222845938556,bm25,250,0.5,0.5
15,0.1180336418516481,0.0432618965449127,5.105672357702733,0.0001981377600743,0.1138151960851507,0.0654075431109157,bm25,200,0.5,0.5
1,0.115992775457107,0.0426385417194961,5.118927724420575,0.0001999961596453,0.1112952174687813,0.0652793779583028,bm25,150,0.5,0.5
12,0.1121722976337824,0.0414320326482391,5.158008802640184,0.0002029240841391,0.1044732910229874,0.065268277703295,bm25,100,0.5,0.5
8,0.116450677557957,0.0426034507801642,5.133965081772023,0.000199647097116,0.1109245678724658,0.0652028874105669,bm25,200,0.25,2.5
5,0.110846035844138,0.0407991320562636,5.184898960976114,0.0002035396944164,0.1018584568146615,0.0651024298186383,bm25,100,0.25,2.5
3,0.1179024220460446,0.0429444927156336,5.112806909532069,0.0001981437611493,0.1158913272929146,0.0648733963423214,bm25,400,0.5,0.5
7,0.1310606223918895,0.0491685749053108,4.790340425223154,0.0001677332135558,0.1470450838210902,0.0640821265345313,bm25,200,0.25,1.25
4,0.1256640908311387,0.0476878121876561,4.82416137961154,0.0001713845343018,0.1381974696037174,0.0636991049304905,bm25,100,0.25,1.25
28,0.0866027004385616,0.0308291981876252,5.921745746040983,0.0002628428510207,0.0533976669910764,0.0636128740893348,bm25,200,0.5,1.2
16,0.0854448899927482,0.030437728811221,5.955432610040341,0.0002652732530575,0.051641741943443,0.0634506491214546,bm25,200,0.5,1.25
1,0.1196978115519266,0.045357239204623,4.929836234711476,0.0001792802487006,0.1313045385385111,0.0633349950644013,bm25,50,0.25,1.25
4,0.105114383326622,0.0392107569067117,5.272300154953779,0.0002092549182131,0.1004147876029772,0.0629998777260964,bm25,50,0.5,0.5
25,0.0811842363026914,0.0295041234112094,5.974908540373512,0.0002650455122611,0.0503156826998204,0.0628352120085572,bm25,100,0.5,1.2
2,0.1043540320352212,0.0388458680896657,5.294267662504848,0.0002101720158307,0.099507079900758,0.062825781510514,bm25,50,0.25,2.5
13,0.0800688184100233,0.0291391486598067,6.0068322000430285,0.0002668516691404,0.0490803668115087,0.0625414008276125,bm25,100,0.5,1.25
3,0.0954674638086899,0.0352813236480618,5.529935637396209,0.000228162438545,0.0806044987868901,0.0625412149066001,bm25,50,0.25,5.0
8,0.0809633146805804,0.0299689061141662,5.996567767574048,0.0002636448946948,0.0547549792332049,0.0608864560159971,bm25,50,0.75,0.5
22,0.0781929057599781,0.0288986049415244,6.087457688483897,0.0002684827613261,0.0499776568475593,0.0604142959597415,bm25,50,0.5,1.2
