user_id,hist_item_id,hist_title,hist_genres,pred_item_id,pred_title,pred_genres
44719803,tt5807330,Tread,"""Documentary""",tt5807330,Tread,"""Documentary"""
,tt9347730,Candyman,"""Horror / Thriller""",tt4558200,Crown Vic,"""Action / Adventure / Crime / Drama / Thriller"""
,tt14230388,Asteroid City,"""Comedy / Drama / Romance / Sci-Fi""",tt14230388,Asteroid City,"""Comedy / Drama / Romance / Sci-Fi"""
,,,,tt7631568,The Devil to Pay,"""Thriller"""
,,,,tt6879446,Hidden Strike,"""Action / Adventure / Comedy / Thriller"""
,,,,tt13095604,The Phenomenon,"""Documentary"""
,,,,tt2677722,City of Lies,"""Biography / Crime / Drama / Mystery / Thriller"""
,,,,tt6539992,Embattled,"""Action / Drama / Sport"""
,,,,tt13495458,The Inspection,"""Drama"""
,,,,tt13266998,Bull,"""Crime / Horror / Thriller"""
21173201,tt1877830,The Batman,"""Action / Crime / Drama / Thriller""",tt1877830,The Batman,"""Action / Crime / Drama / Thriller"""
,tt0439572,The Flash,"""Action / Adventure / Fantasy / Sci-Fi""",tt6791350,Guardians of the Galaxy Vol. 3,"""Action / Adventure / Comedy / Sci-Fi"""
,tt2906216,Dungeons & Dragons: Honor Among Thieves,"""Action / Adventure / Comedy / Fantasy""",tt0439572,The Flash,"""Action / Adventure / Fantasy / Sci-Fi"""
,tt6718170,The Super Mario Bros. Movie,"""Animation / Adventure / Comedy / Family / Fantasy""",tt4998632,Ambulance,"""Action / Crime / Drama / Thriller"""
,tt6791350,Guardians of the Galaxy Vol. 3,"""Action / Adventure / Comedy / Sci-Fi""",tt1464335,Uncharted,"""Action / Adventure"""
,tt0105417,Sister Act,"""Comedy / Family / Music""",tt2906216,Dungeons & Dragons: Honor Among Thieves,"""Action / Adventure / Comedy / Fantasy"""
,tt4873118,Guy Ritchie's The Covenant,"""Action / Drama / Thriller / War""",tt10872600,Spider-Man: No Way Home,"""Action / Adventure / Fantasy / Sci-Fi"""
,,,,tt5090568,Transformers: Rise of the Beasts,"""Action / Adventure / Sci-Fi"""
,,,,tt10366206,John Wick: Chapter 4,"""Action / Crime / Thriller"""
,,,,tt4873118,Guy Ritchie's The Covenant,"""Action / Drama / Thriller / War"""
43731001,tt15789038,Elemental,"""Animation / Adventure / Comedy / Drama / Family / Fantasy / Sci-Fi""",tt7985704,Operation Fortune: Ruse de Guerre,"""Action / Comedy / Thriller"""
,tt0439572,The Flash,"""Action / Adventure / Fantasy / Sci-Fi""",tt2906216,Dungeons & Dragons: Honor Among Thieves,"""Action / Adventure / Comedy / Fantasy"""
,tt5294518,Eli,"""Drama / Horror / Mystery / Thriller""",tt7405458,A Man Called Otto,"""Comedy / Drama"""
,tt7985704,Operation Fortune: Ruse de Guerre,"""Action / Comedy / Thriller""",tt17201166,Unseen,"""Comedy / Thriller"""
,tt7405458,A Man Called Otto,"""Comedy / Drama""",tt5294518,Eli,"""Drama / Horror / Mystery / Thriller"""
,tt17201166,Unseen,"""Comedy / Thriller""",tt0439572,The Flash,"""Action / Adventure / Fantasy / Sci-Fi"""
,tt2906216,Dungeons & Dragons: Honor Among Thieves,"""Action / Adventure / Comedy / Fantasy""",tt10366206,John Wick: Chapter 4,"""Action / Crime / Thriller"""
,,,,tt12261776,65,"""Action / Adventure / Drama / Sci-Fi / Thriller"""
,,,,tt10954600,Ant-Man and the Wasp: Quantumania,"""Action / Adventure / Comedy / Sci-Fi"""
,,,,tt15326988,Ghosted,"""Action / Adventure / Comedy / Romance"""
820001,tt10276482,Love Again,"""Comedy / Drama / Romance""",tt15509244,Happiness for Beginners,"""Comedy / Drama / Romance"""
,tt13405778,Insidious: The Red Door,"""Horror / Mystery / Thriller""",tt8080204,Hypnotic,"""Action / Mystery / Thriller"""
,tt5259822,Tesla,"""Biography / Drama""",tt10276482,Love Again,"""Comedy / Drama / Romance"""
,tt3766354,The Equalizer 2,"""Action / Crime / Thriller""",tt10275534,To Catch a Killer,"""Action / Crime / Drama / Mystery / Thriller"""
,tt9684220,Bad Trip,"""Comedy""",tt3766354,The Equalizer 2,"""Action / Crime / Thriller"""
,tt15509244,Happiness for Beginners,"""Comedy / Drama / Romance""",tt5761544,Kandahar,"""Action / Thriller"""
,tt8080204,Hypnotic,"""Action / Mystery / Thriller""",tt9684220,Bad Trip,"""Comedy"""
,,,,tt20768712,Book Club: The Next Chapter,"""Comedy"""
,,,,tt13405778,Insidious: The Red Door,"""Horror / Mystery / Thriller"""
,,,,tt8373206,About My Father,"""Comedy"""
