item_id,runtime
tt0004972,"""195"""
tt0006864,"""163"""
tt0010323,"""76"""
tt0011237,"""76"""
tt0011841,"""145"""
tt0011870,"""79"""
tt0012364,"""107"""
tt0013086,"""242"""
tt0013257,"""91"""
tt0013427,"""78"""
tt0013442,"""94"""
tt0014142,"""133"""
tt0014341,"""65"""
tt0014429,"""74"""
tt0014624,"""82"""
tt0015136,"""93"""
tt0015163,"""59"""
tt0015174,"""129"""
tt0015175,"""143"""
tt0015400,"""155"""
tt0015532,"""80"""
tt0015624,"""151"""
tt0015648,"""75"""
tt0015841,"""77"""
tt0015863,"""69"""
tt0015864,"""95"""
tt0016039,"""110"""
tt0016220,"""93"""
tt0016332,"""56"""
tt0016884,"""112"""
tt0017075,"""92"""
tt0017765,"""66"""
tt0017925,"""78"""
tt0018037,"""88"""
tt0018051,"""82"""
tt0018192,"""330"""
tt0018455,"""94"""
tt0018578,"""144"""
tt0018737,"""109"""
tt0018742,"""76"""
tt0018773,"""72"""
tt0018839,"""76"""
tt0019071,"""88"""
tt0019130,"""110"""
tt0019254,"""110"""
tt0019421,"""70"""
tt0019702,"""85"""
tt0019729,"""100"""
tt0019760,"""68"""
tt0019777,"""96"""
tt0020629,"""152"""
tt0020640,"""97"""
tt0020697,"""104"""
tt0020960,"""127"""
tt0021079,"""79"""
tt0021156,"""92"""
tt0021165,"""104"""
tt0021542,"""75"""
tt0021577,"""60"""
tt0021739,"""91"""
tt0021749,"""87"""
tt0021814,"""75"""
tt0021884,"""70"""
tt0022100,"""117"""
tt0022158,"""77"""
tt0022208,"""72"""
tt0022286,"""83"""
tt0022458,"""86"""
tt0022599,"""104"""
tt0022698,"""93"""
tt0022718,"""85"""
tt0022835,"""98"""
tt0022879,"""80"""
tt0022913,"""64"""
tt0022958,"""112"""
tt0023027,"""68"""
tt0023042,"""92"""
tt0023158,"""104"""
tt0023196,"""89"""
tt0023238,"""63"""
tt0023245,"""73"""
tt0023249,"""61"""
tt0023293,"""72"""
tt0023382,"""83"""
tt0023385,"""79"""
tt0023395,"""110"""
tt0023427,"""93"""
tt0023458,"""82"""
tt0023551,"""100"""
tt0023563,"""122"""
tt0023622,"""83"""
tt0023649,"""75"""
tt0023694,"""69"""
tt0023775,"""71"""
tt0023814,"""88"""
tt0023876,"""112"""
tt0023940,"""91"""
tt0023948,"""111"""
tt0023969,"""69"""
tt0024025,"""89"""
tt0024028,"""104"""
tt0024034,"""89"""
tt0024069,"""97"""
tt0024166,"""87"""
tt0024184,"""71"""
tt0024188,"""70"""
tt0024216,"""100"""
tt0024240,"""96"""
tt0024264,"""115"""
tt0024368,"""77"""
tt0024473,"""97"""
tt0024481,"""99"""
tt0024548,"""66"""
tt0024593,"""70"""
tt0024601,"""68"""
tt0024852,"""77"""
tt0024894,"""65"""
tt0024968,"""79"""
tt0024991,"""100"""
tt0025164,"""107"""
tt0025301,"""111"""
tt0025316,"""105"""
tt0025318,"""68"""
tt0025452,"""75"""
tt0025586,"""83"""
tt0025746,"""104"""
tt0025748,"""97"""
tt0025878,"""91"""
tt0025919,"""91"""
tt0026029,"""86"""
tt0026056,"""99"""
tt0026071,"""95"""
tt0026138,"""75"""
tt0026174,"""119"""
tt0026266,"""130"""
tt0026685,"""60"""
tt0026752,"""132"""
tt0026778,"""96"""
tt0026912,"""61"""
tt0026955,"""90"""
tt0027075,"""128"""
tt0027125,"""101"""
tt0027194,"""75"""
tt0027260,"""112"""
tt0027311,"""96"""
tt0027336,"""95"""
tt0027438,"""115"""
tt0027441,"""70"""
tt0027442,"""72"""
tt0027478,"""80"""
tt0027532,"""101"""
tt0027545,"""71"""
tt0027652,"""92"""
tt0027884,"""98"""
